review,placeid
Magnified atmosphere ......Mumbai Rocks.....going back Delhi bt vl miss delhi,ChIJgWqi8ODR5zsRFjnfBH7k1oc
Excellent stadium.....best in India.....great atmosphere at wankhede....went to watch my first match in stadium.....planning to see  another one ,ChIJgWqi8ODR5zsRFjnfBH7k1oc
Ek baar apne dar pe bula lo piya haji Ali,ChIJ40INk37O5zsRBY0Hq8dd4NU
I'm muslim i love my haji ali dargah,ChIJ40INk37O5zsRBY0Hq8dd4NU
Karma ek Nazar farmado ya hajiali sarkar,ChIJ40INk37O5zsRBY0Hq8dd4NU
Yaa haji ali baba ham tamam muslmano  ko  baksh de ,ChIJ40INk37O5zsRBY0Hq8dd4NU
"Dargah is one of the most recognisable landmarks of Mumbai. Located on an islet (Small Island)  off the coast of Worli is linked by 1 KM Pathway . The Architecture is superb, but the building is not maintained and Cleaned. Sunday Closed.",ChIJ40INk37O5zsRBY0Hq8dd4NU
"RBI is the indias central bank which controls the printing of currency in our country....
But rbi does't print bank notes....
Some private companies print notes on behalf of rbi....

Thank you...for reading",ChIJYzmrGtvR5zsRnkXI7onJ3tA
"Dear Sir 
Rate cuts announced by RBI is not been implemented by HDFC Ltd immediately their site says only it will be effected in the month of Jan 2016 for existing customers, But the advertisement in News Papers given by HDFC Ltd differs from what they claim. Kindly initiate action for miss guiding people.
",ChIJYzmrGtvR5zsRnkXI7onJ3tA
Lovely place and very much interesting. I had gone in my school picnic. Nice one and worth-seeing.,ChIJYzmrGtvR5zsRnkXI7onJ3tA
"I am getting mails regarding some lottery etc., quoting RBI. I wish to send them to you for verification.
PL inform mail address.",ChIJYzmrGtvR5zsRnkXI7onJ3tA
RBI is promoting Kiosk Banking in different rural and urban areas to provide banking solutions to maximum population of India. Unfortunately service providers(Banks) are not providing proper support to kiosk operators.I can say this strongly because I am also kiosk operator of SBI. I am handling my kiosk since last 1.5 years and I faced lot of problems due to lackness of support of my parental company(State Bank of India).Presently our server has been blocked since last 4 days and we are unable provide very essential services to our customers. Students scholarship accounts are also pending due to that. We are facing server problem since last 8-9 months and its hampering our services time to time.Kiosk.Customers and kiosk operators both are suffering very much due to that and its also make blockage to fulfill the purpose of kiosk banking.Its my humble request to RBI to make intervention on the matter.,ChIJYzmrGtvR5zsRnkXI7onJ3tA
"I had heard great things about this hospital, from relatives and friends. I went for a medical check up which was on May 2nd, 2015. I was EXTREMELY disappointed with the way they did our check ups, everything was VERY mechanical. There were 4 people that were extremely helpful and nice to us but the rest of them treated us like we were a bother to them, because we were asking questions. I am not a Dr nor a Nurse but I do believe it is common for a physician to ask you what is wrong with your health so that after your check up (SOLITAIRE PLUS) you can then check for other problems. 

We wasted so much time in this hospital! If Lilavati hospital had a plan to follow especially for international patients you could be in an out within 2 days but we ended up going back to the hospital for 4 days simply because no physician had bothered to read our complaints before we started the check up.

The Physician who read my reports after the check up spent less then 3 minutes going through my report, he was so busy trying to get me out of his office he forgot to even tell me one critical thing about my health!!!!!!

To make matters worse, instead of sending me my results directly they sent my medical reports to my sister!!!!!!!!! What ever happened to Medical reports are PRIVATE!!!

I personally don't think I will be returning to this hospital SO DISAPPOINTED!!!  What a shame!",ChIJCexkMT_J5zsRPxlq4wf_4Yw
Impressed with extremely fast service and care. Good to see such staff at a hospital ,ChIJCexkMT_J5zsRPxlq4wf_4Yw
Hii Iam private nurse I done my duty on this hospital..The hospital was very good and there Dr and Physiotherapy are to good & my experience was very good.......,ChIJCexkMT_J5zsRPxlq4wf_4Yw
"Lilavati hospital is 2nd expensive hospital in Mumbai....
",ChIJCexkMT_J5zsRPxlq4wf_4Yw
Increadible health care..keeping world class standerds..,ChIJCexkMT_J5zsRPxlq4wf_4Yw
"now the chief justice of the Bombay High Court is not  Justice  Mohit Shaha, he retired on 9 th septmber 2015. At present the Acting Chief JUstice Is Hon'ble justice Smt.  Vijaya Kamlesh Tahilramani.",ChIJaayF0sLR5zsRHXbJ24fN6dc
" PROUD TO SEE THE WEBSITE OF HONORABLE MUMBAI HIGH COURT TO HAVE
 UP TO DATE INFORMATION TO INDIAN CITIZEN.

THANKS & REGARDS : RAJESH S MEDHEKAR MUMBAI. ",ChIJaayF0sLR5zsRHXbJ24fN6dc
Nice!!! lovely atmosphere.. ,ChIJaayF0sLR5zsRHXbJ24fN6dc
Love u salman,ChIJaayF0sLR5zsRHXbJ24fN6dc
"I STRONGLY SUGGEST TO HONORABLE ESTEEMED COURT TO HAVE APPRAISAL  system for ""honorable lawyers"" so that the PUBLIC  FAITH, IN ,""JUDICIAL SYSTEM ,""DOES, NOT WAVER IN TESTING TIMES.. ,ALL WILL GET"" DUE,,..;"" FIRST AMONG EQUALS............SHALL ERADICATE MISGIVINGS FOR DUTY HOLDERS.  AS IN RISK MANAGEMENT ........WITHOUT PREJUDICE",ChIJaayF0sLR5zsRHXbJ24fN6dc
"This is a small museum adjacent to the zoo. The building itself is beautiful and well maintained clean and the exhibitions are both historical and modern.  This museum houses a large number of archaeological finds, maps and historical photographs of Mumbai, clay models, silver and copper ware and costumes.It primary focus in early history of Mumbai. Most interesting part was models of various communities residing in Mumbai There are also workshops to be attended arranged at different times of the month separate for kids, adults and colleges etc. this is a place to go.",ChIJr3COQlvO5zsRBS4MFGze73k
The heritage building is beautifully restored and photography is allowed without any extra charges... It has nice old-world charm and the ambiance is fantastic. Definitely worth visiting. ,ChIJr3COQlvO5zsRBS4MFGze73k
Must visit even for locals. Mumbai's history depicted in detail. The culture and customs of India is nicely displayed. Photography allowed too.,ChIJr3COQlvO5zsRBS4MFGze73k
"Lots of artifacts, lots of small figures depicting life and customs, well maintained, photography allowed without flash at no extra charge, entry fees for Indians Rs.10/adult.",ChIJr3COQlvO5zsRBS4MFGze73k
Awesome Palace..Shooo Beautiful,ChIJr3COQlvO5zsRBS4MFGze73k
TISS taught me to look at life from a different perspective. Its environment helped me understand everyone is unique the way they are and we need not try to be something which we are not. Its almost close to perfect sample of INDIA as a whole. Humanity has its highest concerns at TISS. Apart from this TISS is all about celebrating life between hectic Academics.,ChIJx2VKQAjG5zsRNoir7I4Aric
"My association with TISS goes way back to 1969. I joined TISS on 22nd December 1969 as a UGC JRF for my doctoral research. I was in the campus till July 1973, the year I finished my work. Finally submitted my thesis on 19th November 1973 and got my Ph.D degree finally on 5th May 1974. I have very fond memories of my days spent in TISS. The best part has been the enabling enviornment of the Institute which allows people to live their dreams. All this could not have been possible without the enabling leadership of late Prof. M. S. Gore and my research guide and mentor Prof. K. G. Desai. They have played a very important role in shaping my life. I am sure TISSians accross the genarations would agree with me.",ChIJx2VKQAjG5zsRNoir7I4Aric
Best institute for social work & HR related studies in India,ChIJx2VKQAjG5zsRNoir7I4Aric
Wow i have amazing experience on TISS,ChIJx2VKQAjG5zsRNoir7I4Aric
Proud to be a TISSIAN,ChIJx2VKQAjG5zsRNoir7I4Aric
Good place for shopping small accessories toiletries. ..but not for buying  body products or electronics. ..high chances of getting duplicate products and getting duped...,ChIJCVSAtybO5zsRmo628OhYNiQ
You can buy a variety of things at affordable prices. But it's a very crowded place.,ChIJCVSAtybO5zsRmo628OhYNiQ
"Nice place to visit at least once...
Lots of pet birds and animals for sale...
Try adopting from somewhere else instead of buying them...",ChIJCVSAtybO5zsRmo628OhYNiQ
Good fun. Best food market in Mumbai. Check out the pet shops and Spice market. Cheap saffron. ,ChIJCVSAtybO5zsRmo628OhYNiQ
The best place to buy almost every stuff from cutlery to clothes and dry fruits. ,ChIJCVSAtybO5zsRmo628OhYNiQ
Very good hospital of mumbai..,ChIJk3X00XbO5zsRx2UpTspHr3M
"Inspire of referral and credit letter doctors hesitate to treat the patient and ask will your company will pay this amount???
Doctors don't even tell what corrective actions they are going to take. ",ChIJk3X00XbO5zsRx2UpTspHr3M
Very good hospital yesterday my masi kidney transperency done in proper manner and Dr is wonderful staff also ok.,ChIJk3X00XbO5zsRx2UpTspHr3M
"My doctor did not spend any time talking to my family about my condition at all. Also, he barely saw me while I was there, merely peeping in for a minute or two everyday. His negligence almost killed me; he forgot to write in his note to the nurse that I required equal amounts of the drug and water to be administered at the same time. If my family had not noticed the nurse starting the drug, I would have been dead that day.
Also, I once had an allergic reaction to a drug given to me. I was suffocating, and none of the people in the hospital knew what to do with me. I have had an atrocious experience at this hospital, and I would certainly say that, if you are a juvenile who has cancer, DO NOT GO THERE. However, I do recognise that other departments of the hospital may be excellent, and I just don't know about them.",ChIJk3X00XbO5zsRx2UpTspHr3M
"only the name remains......administration department the worst.....CEO `and the nursing director are just puppets. salute to the doctors and the nurses working in jaslok.
",ChIJk3X00XbO5zsRx2UpTspHr3M
"This is a big mall located at Lower Parel in South Mumbai. This place has almost everything required for shopping, eating and  entertainment are outlets of several well known brands for apparels, shoes, accessories, books, music, toys, cosmetics, salon, spa, optics, designer wear,bags, luggage, electronic gizmos and gadgets, home de?cor, Kid?s fashion, gifts, hobbies, sportswear and sports gear,watches,jewellery and fashion accessories. Prices range from affordable to high end.  Lots of options to satisfy your taste buds. Multiplex cinema with 7 Screen for entertainment. ",ChIJG8VDYIzO5zsRqlIdGnKIkkY
Excellent shopping center.....There are a number of building structures that make up this shopping complex the best out of which is palladium.it is a very high class part of this place with almost every brand you'd want...don't miss it....,ChIJG8VDYIzO5zsRqlIdGnKIkkY
"All the top international brands are in here. You'll also find many exclusive stores. But restrooms lack space and cleanliness. There is an IMAX movie theater which is awesome. 

Overall it's an extremely good place to hang out. ",ChIJG8VDYIzO5zsRqlIdGnKIkkY
"Great staff, great quality, great variety! Loved it!",ChIJG8VDYIzO5zsRqlIdGnKIkkY
By the reviews and pics of the mall I think it's a nice mall and on weekends i'll go there.,ChIJG8VDYIzO5zsRqlIdGnKIkkY
"Superb hospital..they take care of patient very well.
Doctors like Dr.Bitchu and Dr.Amit Mandot are the Best.
Becauase of them only my survived from Hapetitis E , when only 15% chance of survival was told when we shifted her from one pathetic hospital MGM hospital, Belapur",ChIJISl0DODR5zsRsAU0n90HQ-c
"dr.anad shah,ent surgeon is the best surgeon!!!!!specialist in ear surgery!!!!",ChIJISl0DODR5zsRsAU0n90HQ-c
"MAIN..IS WAQT.. . BOMVBAY HOSPITAL MAIN..JANAB HAJI NASIRBHAI..HAMARE PIRSAAB KO DEKHNE AAYA HOON..DUVA KARE , ALLAH PAAK UNKO. JALD SE JALD SIFA ATA FARMAY..AAMIN..SUMMA AAMIN..  .Siraj..",ChIJISl0DODR5zsRsAU0n90HQ-c
It's excellent but too expansive,ChIJISl0DODR5zsRsAU0n90HQ-c
"doctors are expensive and not easy to find, this hospital is like a maze. Registration fee of the hospital itself is too high. Poor and middle class can't afford this hospital.",ChIJISl0DODR5zsRsAU0n90HQ-c
"Mass timing
Weekdays: 6.30am, 7.30am, 1.15pm,6pm
Sunday:6.30am,7.30am,10am,5pm,6.30pm",ChIJH1q0mNnR5zsRyVrR79B4xOU
i have walked around there and taken many beautiful pictures there. you have a great city and country.,ChIJH1q0mNnR5zsRyVrR79B4xOU
,ChIJH1q0mNnR5zsRyVrR79B4xOU
,ChIJH1q0mNnR5zsRyVrR79B4xOU
,ChIJH1q0mNnR5zsRyVrR79B4xOU
I wnt say dat d teachng faculty is awesum yet its a very  down to earth n calm colg !,ChIJGWPN1tDO5zsR7WmIuRRMTZ8
Teaching staff is awesome ....but guys if ur thinking to take science medical ....then .....this college will give u maths subject compulsory....which is of no use for science medical .....and also this college don't have geography subject .....and always there are few seats for IT subject ......so if ur not getting IT subject .....so unfortunately u have to take Hindi/Marathi/Sanskrit/french/Germany/Japanese..languages ......so just think about it ...over all this college is best ....for science !!!!,ChIJGWPN1tDO5zsR7WmIuRRMTZ8
"Awesome campus, loved educating in this collage.
Proud to be a Ruparel Student",ChIJGWPN1tDO5zsR7WmIuRRMTZ8
"nostalgic to c campus...... awesome... everything under one roof...great I was a part of this wonderful college... best education.
",ChIJGWPN1tDO5zsR7WmIuRRMTZ8
Can I bunk in ruparel??? Is it strict? Plzz let me know soon,ChIJGWPN1tDO5zsR7WmIuRRMTZ8
"Visited here for PhD interview. Pleasant weather, facing the sea. 25 minutes bus ride from CST. There are 13 laboratories smaller than IIT Roorkee but stocked well! Seems like a premier research facility. I couldn't visit the hostel facility. Security was tight as it looks like military area. ",ChIJzU_0XojR5zsRDSGa7TThRQY
It was informal visit .. So it was pleasing ,ChIJzU_0XojR5zsRDSGa7TThRQY
I was lucky that in 2011 I got the opportunity to enter TIFR for giving interview for PhD program in DBS facility. It is a research oriented truely world class facility placed in a picture-perfect awesome location beside arabian sea.,ChIJzU_0XojR5zsRDSGa7TThRQY
My father had his Doctorate Degree from this great institute! one of the best in the far east.,ChIJzU_0XojR5zsRDSGa7TThRQY
THIS IS THE BEST PLACE ON EARTH TO DO REASERCH....I LOVE THIS PLACE I AM GOING TO DO MY PhD THERE ..OK BYE ENJOY,ChIJzU_0XojR5zsRDSGa7TThRQY
